category,question,contexts,answer,ground_truth,context_precision,faithfulness,answer_relevancy,context_recall
문제점 기반 유사사례 검색형,승인받지 않은 논문에 연구 마일리지를 부당 지급한 사례와 유사한 감사사례를 알려줘.,,,,,,,
문제점 기반 유사사례 검색형,출장여비 증빙 미비 및 과다 청구 사례와 비슷한 감사사례가 있는지 찾아줄래?,,,,,,,
문제점 기반 유사사례 검색형,법인카드를 목적 외로 사용하거나 선결제한 부적정 집행 사례를 말해줘.,,,,,,,
문제점 기반 유사사례 검색형,안전용품이나 장비 구매 과정에서 예산 낭비가 발생한 사례와 유사한 감사사례를 찾아줘.,,,,,,,
문제점 기반 유사사례 검색형,법인카드 취소내역 회계처리 미흡으로 과다 지급된 사례가 있는지 알려줄 수 있을까?,,,,,,,
문제점 기반 유사사례 검색형,공사 지연을 초래한 설계변경 관리 소홀 사례와 유사한 감사사례를 제시해줘.,,,,,,,
문제점 기반 유사사례 검색형,영세율 적용을 누락하거나 세금 감면 규정을 잘못 적용한 사례가 있는지 설명해줘.,,,,,,,
문제점 기반 유사사례 검색형,화물·화차 관리 업무에서 통지 지연이나 입력 오류가 있었던 사례와 비슷한 감사사례를 알려줄래?,,,,,,,
문제점 기반 유사사례 검색형,안전관리계획서 작성 미흡 또는 안전교육 미이행 사례와 유사한 감사사례를 알려줘.,,,,,,,
문제점 기반 유사사례 검색형,건축시설물 안전점검을 소홀히 하여 사고 위험을 초래한 사례가 있는지 확인해줘요.,,,,,,,
문제점 기반 유사사례 검색형,병가·결근 등 근태관리를 부적절하게 운영한 사례와 유사한 감사사례를 말해봐줘.,,,,,,,
문제점 기반 유사사례 검색형,감정평가 업무를 부적정하게 처리하여 매입주택 가격에 혼선을 초래한 사례를 알려줄래?,,,,,,,
문제점 기반 유사사례 검색형,실용화 제안서나 연구 결과 보고를 지연하거나 누락한 사례와 비슷한 감사사례를 찾아줘.,,,,,,,
문제점 기반 유사사례 검색형,구매규격 사전 공개를 누락하거나 의견 수렴 절차를 거치지 않은 사례와 유사한 감사사례를 설명해줄래?,,,,,,,
문제점 기반 유사사례 검색형,장기 미수채권에 대해 대손세액 공제를 신청하지 않은 사례와 유사한 감사사례를 알려주세요.,,,,,,,
문제점 기반 유사사례 검색형,일상감사 대상임에도 사전감사를 받지 않은 미수감 사례가 있는지 찾아봐.,,,,,,,
문제점 기반 유사사례 검색형,직접생산증명서 미확인 등 중소기업자간 경쟁제품 계약에서 절차를 위반한 사례를 알려줄 수 있을까?,,,,,,,
문제점 기반 유사사례 검색형,촬영 승인 및 수수료 부과 기준을 일관되게 적용하지 않아 혼선이 발생한 사례와 비슷한 감사사례를 제시해줘.,,,,,,,
문제점 기반 유사사례 검색형,임직원이 금품을 수수하거나 복무규정을 위반한 사례와 유사한 감사사례가 있는지 말해줘.,,,,,,,
문제점 기반 유사사례 검색형,건설공사에서 순환골재 적용 검토를 누락한 사례와 비슷한 감사사례를 말해줘요.,,,,,,,
처분수준 추천형,감사그룹의 독립성을 저해하고 근무평정 기준을 임의로 적용한 직원에게 어떤 감사처분이 적절한지 말해줘.,,,,,,,
처분수준 추천형,특정 업체에 유리하도록 입찰 규격을 작성해 경쟁을 제한한 직원에게 어떤 처분이 적절한지 설명해줄래?,,,,,,,
처분수준 추천형,출장비를 허위 청구하거나 과다 수령한 직원에게 적절한 처분이 무엇인지 알려줘.,,,,,,,
처분수준 추천형,전기요금 납부를 소홀히 하여 기관에 금전적 손해를 끼친 직원에게 어떤 처분이 필요한지 정리해줘요.,,,,,,,
처분수준 추천형,농지 이용실태조사를 부실하게 수행해 부적격자에게 직접지불금을 지급하게 한 직원에게 적절한 감사처분을 제시해줘.,,,,,,,
처분수준 추천형,직장 내 성희롱 및 품위유지의무를 위반한 직원에게 어떤 중징계가 필요한지 설명 부탁해.,,,,,,,
처분수준 추천형,부하 직원에게 반복적인 폭언·괴롭힘을 한 관리자를 대상으로 어떤 처분이 적절한지 알려줄래요?,,,,,,,
처분수준 추천형,해임 사유임에도 규정을 위반해 의원면직 처리한 직원에게 어떤 감사처분이 필요한지 말해줄 수 있을까?,,,,,,,
처분수준 추천형,고장난 장비를 불용 처리하지 않고 방치하여 관리 의무를 소홀히 한 직원에게 어떤 처분이 적절한지 설명해줘.,,,,,,,
처분수준 추천형,철거품을 무단 반출해 사적으로 이득을 취한 직원에게 어떤 처분이 필요한지 말해봐.,,,,,,,
처분수준 추천형,승무원 이력 관리(KOVIS) 정보를 누락하거나 허위로 등록한 직원에게 적절한 감사처분을 알려줄래?,,,,,,,
처분수준 추천형,도로 침하·사고 발생을 보고하지 않고 은폐한 직원에게 어떤 처분이 적절한지 의견을 말해줘.,,,,,,,
처분수준 추천형,벌점 부과 대상임에도 절차를 이행하지 않고 규정을 위반한 직원에게 어떤 처분이 필요한지 판단해줘.,,,,,,,
처분수준 추천형,보안규정을 위반하여 중요 문서를 시건하지 않고 방치한 직원들에게 어떤 처분이 적절한지 추천해줘요.,,,,,,,
처분수준 추천형,출장여비 및 체재비를 부당하게 수령한 직원에게 어떤 감사처분이 필요한지 정확히 알려줘.,,,,,,,
처분수준 추천형,무단결근하고 외부 직원에게 금전을 차용한 뒤 신고하지 않은 직원에게 어떤 처분이 적절한지 설명해봐.,,,,,,,
처분수준 추천형,업무 중 음주 후 무단 취침 또는 근무태만을 한 직원에게 어떤 처분이 적합한지 알려줄 수 있을까?,,,,,,,
처분수준 추천형,법인 차량을 해외 법인에서 사적으로 사용한 법인장에게 어떤 처분이 필요한지 말해줘.,,,,,,,
처분수준 추천형,반복적인 무면허 운전으로 도로교통법을 위반한 직원에게 어떤 징계가 타당한지 알려줘봐.,,,,,,,
처분수준 추천형,시유지 무단점유 변상금 부과 업무를 소홀히 하고 체납 조치를 이행하지 않은 직원에게 적절한 처분을 제안해줘.,,,,,,,
조치사항 기반 역추론형,인증서 발급 같은 행정 업무를 부실하게 처리해서 주의 조치가 내려진 사례가 있어?,,,,,,,
조치사항 기반 역추론형,공공시설의 영업장 입점 계약 과정에서 불공정한 부분이 있어 '주의' 조치가 내려진 경우가 있어?,,,,,,,
조치사항 기반 역추론형,법률 위반 사항에 대해 조사를 지연하거나 과징금을 제때 부과하지 않는 등 업무 처리가 미흡하여 '주의'를 받은 사례가 있나요?,,,,,,,
조치사항 기반 역추론형,부동산 명의신탁 같은 불법 행위에 대한 조사가 부실해서 '주의' 조치를 받은 기관이 있어?,,,,,,,
조치사항 기반 역추론형,"행정 절차나 문서 관리를 잘못해서 법률 위반자에게 과징금을 부과하지 못하게 된 경우, 어떤 조치를 받게 돼?",,,,,,,
조치사항 기반 역추론형,법령 해석을 잘못해서 과징금을 부과하지 않았다가 '주의'를 받은 사례가 있을까?,,,,,,,
조치사항 기반 역추론형,법령상 과징금 감경 사유가 아닌데도 부당하게 감경해주었다가 '주의' 처분을 받은 사례를 알려줘.,,,,,,,
조치사항 기반 역추론형,농지법 같은 다른 법령을 회피할 목적으로 부동산 명의신탁을 한 경우에도 과징금 감경을 해줬다가 '주의' 받은 사례가 있어?,,,,,,,
조치사항 기반 역추론형,과징금을 부당하게 감경해준 것이 나중에 적발되어 '주의' 조치를 받은 지자체 사례를 찾아줘.,,,,,,,
조치사항 기반 역추론형,재판 결과를 기다리다가 과징금을 부과할 수 있는 기간을 놓쳐서 '주의'를 받은 사례가 있나요?,,,,,,,
조치사항 기반 역추론형,특정 업체에만 유리하게 장비 구매 규격서를 작성하는 등 공정성을 해쳐 '주의'를 받은 사례가 있어?,,,,,,,
조치사항 기반 역추론형,입찰 참가 자격 심사를 소홀히 해서 '주의' 조치를 받은 사례가 있나요?,,,,,,,
조치사항 기반 역추론형,정부 지침에 어긋나는 수당을 신설해서 지급했다가 '주의' 조치를 받은 공공기관이 있어?,,,,,,,
조치사항 기반 역추론형,"직원이 내부 정보를 이용해 사적인 이득을 취하려 했을 때, 징계 시효가 지났다면 어떤 조치를 내릴 수 있나요?",,,,,,,
조치사항 기반 역추론형,"내부 규정에 따라 필수로 진행해야 하는 일상감사를 누락했을 경우, 관련자들은 어떤 처분을 받게 되나요?",,,,,,,
조치사항 기반 역추론형,방역 지침을 어기고 행사를 부적절하게 진행했을 때 '경고'나 '견책' 같은 조치를 받은 사례가 있나요?,,,,,,,
조치사항 기반 역추론형,"감사 결과에 따른 '부서 경고' 조치가 실질적인 효과가 없다는 지적이 있을 경우, 어떤 개선 방안이 제시될 수 있나요?",,,,,,,
조치사항 기반 역추론형,"감사 부서의 독립성이 약화될 우려가 있을 때, '부서 경고' 처분의 실효성을 높이기 위한 방안을 요구한 사례가 있습니까?",,,,,,,
조치사항 기반 역추론형,사업 준공이 지연되었을 때 지체상금을 잘못 산정하는 등 계약 관리를 소홀히 한 담당자가 '경고' 처분을 받은 사례가 있나요?,,,,,,,
조치사항 기반 역추론형,"공사비 정산 과정에서 보험료를 과다 지급하는 등 검토를 소홀히 한 경우, 관련 용역 업체가 '경고' 조치를 받을 수 있나요?",,,,,,,
조치사항 기반 역추론형,인사 발령 같은 내부 정보를 외부로 유출한 직원에 대해 '경고'나 '감봉' 같은 처분이 내려진 사례를 알려줘.,,,,,,,
기관·문서 기반 특정검색형,"감사원에서 발행한 감사보고서 중에, 문서코드가 2551인 건 찾아줘.",,,,,,,
기관·문서 기반 특정검색형,한국가스안전공사가 법령에 위반되는 규정을 운영하다가 적발된 사례가 있어?,,,,,,,
기관·문서 기반 특정검색형,SRT 율현터널 공사 중에 시공 문제가 있었다는 감사 보고서를 찾아줘.,,,,,,,
기관·문서 기반 특정검색형,한국철도공사가 열차 속도제한 규정을 지키지 않아서 문제가 된 사례가 있어?,,,,,,,
기관·문서 기반 특정검색형,부산시에서 업무추진비를 부적절하게 사용한 것에 대한 감사 결과를 알려줘.,,,,,,,
기관·문서 기반 특정검색형,서울주택도시공사(SH)의 매입임대주택 사업에 대한 감사 결과가 궁금해.,,,,,,,
기관·문서 기반 특정검색형,병무청이 민원 평가 점수를 조작했다는 의혹에 대한 감사 보고서 있어?,,,,,,,
기관·문서 기반 특정검색형,국토교통부에서 이륜자동차 안전관리 제도를 제대로 마련하지 않고 있다는 감사 결과가 있었어?,,,,,,,
기관·문서 기반 특정검색형,소방안전교부세가 다른 용도로 사용된 사례에 대한 감사 결과를 찾아줘.,,,,,,,
기관·문서 기반 특정검색형,소방청에서 추진한 지휘역량강화센터 구축 사업에 대한 감사 내용을 알려줘.,,,,,,,
기관·문서 기반 특정검색형,관세청에서도 민원 만족도를 조작한 사례가 있는지 찾아줘.,,,,,,,
기관·문서 기반 특정검색형,민자고속도로의 재난관리 매뉴얼이 부실하게 관리되고 있다는 감사 결과에 대해 알려줘.,,,,,,,
기관·문서 기반 특정검색형,서울지방국토관리청에서 관리하는 교량의 안전성 검토가 부적절했다는 내용의 보고서가 있어?,,,,,,,
기관·문서 기반 특정검색형,환경부의 빗물펌프장 안전관리 실태에 대한 감사 결과 좀 찾아줘.,,,,,,,
기관·문서 기반 특정검색형,한국농어촌공사의 저수지 제방 안전등급 판정 기준에 문제가 있었다는 감사 내용이 뭐야?,,,,,,,
기관·문서 기반 특정검색형,최근 발생한 농업용 저수지 붕괴 사고에 대해 행정안전부의 원인 조사가 제대로 이루어지지 않았다는 지적이 있어?,,,,,,,
기관·문서 기반 특정검색형,침수 피해 예방을 위한 우수저류시설 설치 사업이 기준에 맞지 않게 추진된 사례를 검색해줘.,,,,,,,
기관·문서 기반 특정검색형,"국토교통부가 건설공사의 불법 하도급 업체를 제대로 고발하지 않은 사례가 있다던데, 관련 내용 알려줘.",,,,,,,
기관·문서 기반 특정검색형,인천광역시에서 등록 기준에 미달하는 건설사에 대한 영업정지 처분을 부당하게 감경해준 사례가 있어?,,,,,,,
기관·문서 기반 특정검색형,소방청의 연구개발 사업 결과물인 지식재산권 관리가 부적절했다는 감사 내용을 찾아줘.,,,,,,,
규정·법령 근거 설명형,전기동차 폐차 과정에서 재활용품을 KOVIS 시스템에는 입고 처리하지 않고 자체구매시스템에만 등록한 사례에 대한 관련 법령을 설명해줘.,,,,,,,
규정·법령 근거 설명형,기계설비의 가동시간을 수개월~수십 개월 동안 기계관리시스템에 입력하지 않은 사례가 있어. 기계가동시간 미입력과 관련된 감사사례와 규정을 찾아줘.,,,,,,,
규정·법령 근거 설명형,비가동기계 지정 및 관리전환과 관련된 감사사례와 관련된 규정이나 법령을 알려줘.,,,,,,,
규정·법령 근거 설명형,철도차량 이력관리 및 정비오더 완료처리 부적정에 대한 감사에 대한 법령을 알려줘요.,,,,,,,
규정·법령 근거 설명형,"폐석면 등 지정폐기물 처리 절차 부적정에 관한 감사사례와 관련 법령, 향후 어떻게 처리해야 하는지 규정을 알려줘.",,,,,,,
규정·법령 근거 설명형,사용계획이 없는 특수 장비를 장기간 재고로 보관한 사례에 대한 감사 기준이나 재고운송·이전 등 규정을 찾아줄래?,,,,,,,
규정·법령 근거 설명형,"직원이 레팔트를 무단 반출해서 개인적 목적으로 사용한 사례가 있는지 찾아주고, 해당 사례의 감사처분과 관련 규정을 설명해줘봐.",,,,,,,
규정·법령 근거 설명형,안내표지 같은 공사용 자재를 직접 구매해야 하는데 시공업체가 대신 구매한 사례나 관련된 규정이 있어?,,,,,,,
규정·법령 근거 설명형,기관이 보유한 자산을 활용하지 않고 방치한 사례 또는 이와 비슷한 감사사례를 찾아주고 관련 법령을 설명해.,,,,,,,
규정·법령 근거 설명형,공사 현장의 사진을 촬영하지 않거나 기록을 남기지 않고 준공처리한 사례에 대한 법령이나 기준을 찾아줘.,,,,,,,
규정·법령 근거 설명형,"과오납된 토지 재산세를 회수하지 못한 사례를 찾아보고, 관련 법령을 설명해줄래요?",,,,,,,
규정·법령 근거 설명형,승소 사건에 대해 소송비용액 확정 신청을 하지 않아서 변호사 보수를 회수하지 못한 사례에 대한 기준이나 법령을 설명해줘요.,,,,,,,
규정·법령 근거 설명형,감정평가업체 선정 기준 위반과 관련된 유사 감사사례와 법령과 규정을 알려줘.,,,,,,,
규정·법령 근거 설명형,"분양주택 입주안내문 작성·운영이 불합리하다고 지적된 감사사례를 알려주고, 표준 입주안내문 마련과 관련한 기준을 알려줘.",,,,,,,
규정·법령 근거 설명형,"철도용품 공사규격서에서 시험기준을 제대로 명시하지 않아 하자가 발생한 사례를 찾아주고, 관련 규정을 설명해줄래?",,,,,,,
규정·법령 근거 설명형,"철도차량용 의자 커버 시험 기준을 일관되게 적용하지 않아 민원이 발생한 사례가 있다는데, 그 내용과 관련한 규정을 알려줄래요?",,,,,,,
규정·법령 근거 설명형,"타이탬퍼 구매 시 규격서를 첨부하지 않아 시험검사가 이루어지지 않은 사례가 있다는데, 어떤 규정과 관련 있는 지 설명해줘요.",,,,,,,
규정·법령 근거 설명형,"스텝체인 검사를 하면서 길이 측정 오차가 기준을 초과했는데도 합격 처리한 사례가 있다는데, 관련 기준과 규정을 알려줘.",,,,,,,
규정·법령 근거 설명형,"동적호차표시기 납품 검사에서 전기자기적합성(EMC) 시험을 생략한 사례를 찾아서 어떤 규정 위반인지, 어떤 법령과 관계있는 지 말해봐.",,,,,,,
규정·법령 근거 설명형,"철도용 레일 연삭기 납품 검사를 진행하면서 현장시험을 시행하지 않고 간담회로 대체한 사례가 있다는데, 관련 법령이나 규정을 말해줄래?",,,,,,,
요약·정리형,건설공사 및 건설엔지니어링 용역의 부실벌점 측정이 누락된 사례와 그에 따른 조치를 요약해줘.,,,,,,,
요약·정리형,전기공사에 건설공사 고용보험료 요율을 적용해 고용보험료를 과다 계상한 사례와 시정 내역을 찾아서 정리해줘.,,,,,,,
요약·정리형,영상감시장치 입찰에서 직접생산자가 아닌 업체 간 부당 공동행위 정황과 직접생산 위반으로 공정거래·판로지원법 관련 문제가 된 사례를 요약해줄래?,,,,,,,
요약·정리형,소상공인 우대점수를 반영하지 못한 물품구매 적격심사 세부기준과 개선 권고 내용을 모두 찾아서 정리해줘.,,,,,,,
요약·정리형,건설공사 품질시험계획서 제출·검토·승인 절차를 누락하거나 부실하게 처리한 품질시험계획 검토·승인 미흡 사례를 정리해봐.,,,,,,,
요약·정리형,"청렴도 측정대상자 명부를 잘못 작성해서 개인정보 누락·오기 등으로 문제가 된 감사사례를 요약해서 알려주고, 우리 기관이 어떤 시스템 개선을 위해 참고할 기준을 정리해.",,,,,,,
요약·정리형,교통안전시설물의 안전관리비 계상 기준을 잘못 적용한 감사사례를 모두 찾아서 정리해줘.,,,,,,,
요약·정리형,"숙사의 주택용/업무용 구분에 혼선이 발생한 사례를 요약하고, 해당 기관이 어떻게 규정을 개정하라고 요구받았는지 정리해줄래?",,,,,,,
요약·정리형,우리 기관 계약팀에서 같은 업체와 소액 수의계약을 반복해서 체결하고 있어. 같은 업체와 연간 3회 이상 수의계약을 지속적으로 체결한 공공기관 감사사례를 알려줘.,,,,,,,
요약·정리형,소규모 공사 및 용역에서 산업안전보건관리비를 계상하지 않은 사례를 정리해줄래?,,,,,,,
요약·정리형,"기숙사와 같은 특수 용도의 건축물에 대해 열공급 계약종별을 해석하는 과정에서 영업현장에 혼선이 생겨, 규정과 실무 교재를 동시에 개정하라고 지적받은 사례를 정리해.",,,,,,,
요약·정리형,열수급 계약에서 검침 사진이나 검침확인서도 없이 요금을 부과한 사례와 이 경우 어떤 문서·증빙을 갖춰야 하는지 정리해.,,,,,,,
요약·정리형,"감면 대상 산업단지 판단 기준과 적용해야 할 취득세·재산세 경감률, 그리고 과납 지방세에 대한 시정(회수) 조치 내용을 요약해서 알려줘봐.",,,,,,,
요약·정리형,"외부청렴도 측정 대상자 명부를 부정확하게 작성한 감사사례 모두 찾고, 권익위 청렴도 측정 지침에 맞는 명부 작성 기준을 요약해서 알려줘.",,,,,,,
요약·정리형,"결산체크리스트는 있었지만 실무에서 제대로 작동하지 않은 감사사례를 찾고, 내부회계관리제도 평가에서 이런 경우 어떻게 판단했는지 정리해.",,,,,,,
요약·정리형,"동일 업무에 대해 상이한 업체명·담당자가 기재된 유사 감사사례를 알려주고, 명부 검증 절차와 관련 시스템 오류 정정에 대한 개선요구 사항을 요약해줘.",,,,,,,
요약·정리형,"점용료 관련 리스계약을 과다 식별하여 자산·부채를 왜곡 계상한 감사사례를 요약하고, 리스 식별 절차(RCM) 개선방안과 담당 부서에 대한 적절한 개선요구 기준을 정리해줄래?",,,,,,,
요약·정리형,"리스 식별 누락 또는 과다식별과 관련된 내부회계관리제도 운영 부적정 사례를 요약하고, 외부감사인과의 협의 및 RCM 보완에 대한 감사 권고 내용을 정리해봐.",,,,,,,
요약·정리형,"물품구매대가에 대한 재료비 기간귀속을 잘못하여 공사원가가 뒤늦게 반영된 유사 감사사례를 찾아주고, 결산 시 재료비 기간귀속 점검 절차를 요약해줘.",,,,,,,
요약·정리형,"교육훈련비 원가구분을 하지 않아 판매관리비가 과대계상된 감사사례를 찾고, 적절한 회계정정 방법을 정리해줘.",,,,,,,
